SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.434400	2022-10-04T12:59:19+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.334400	2022-10-04T12:59:19+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.802700	2022-10-04T11:10:13+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.772700	2022-10-04T11:10:13+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.672700	2022-10-04T11:10:13+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.569900	2022-10-04T09:37:38+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.539900	2022-10-04T09:37:38+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.439900	2022-10-04T09:37:38+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.466400	2022-10-04T08:13:44+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.436400	2022-10-04T08:13:44+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.336400	2022-10-04T08:13:44+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.804300	2022-10-04T05:16:47+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.774300	2022-10-04T05:16:47+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.674300	2022-10-04T05:16:47+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.574800	2022-10-04T03:44:06+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.544800	2022-10-04T03:44:06+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.444800	2022-10-04T03:44:06+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.467100	2022-10-04T02:28:45+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.437100	2022-10-04T02:28:45+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.337100	2022-10-04T02:28:45+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.807700	2022-10-03T23:39:52+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.777700	2022-10-03T23:39:52+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.677700	2022-10-03T23:39:52+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Red Hat Enterprise Linux	0.578200	2022-10-03T22:33:30+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	SUSE Linux	0.548200	2022-10-03T22:33:30+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Linux/UNIX	0.448200	2022-10-03T22:33:30+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Red Hat Enterprise Linux	0.467000	2022-10-03T21:33:48+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	SUSE Linux	0.437000	2022-10-03T21:33:48+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Linux/UNIX	0.337000	2022-10-03T21:33:48+00:00
SPOTPRICEHISTORY	eu-central-1b	m4.4xlarge	Windows	1.001200	2022-10-03T18:36:29+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Windows	1.001200	2022-10-03T18:36:29+00:00
SPOTPRICEHISTORY	eu-central-1c	m4.4xlarge	Windows	1.001200	2022-10-03T18:36:29+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Red Hat Enterprise Linux	0.813300	2022-10-03T18:03:30+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	SUSE Linux	0.783300	2022-10-03T18:03:30+00:00
SPOTPRICEHISTORY	eu-central-1a	m4.4xlarge	Linux/UNIX	0.683300	2022-10-03T18:03:30+00:00
